gewas,gewascode,count,cumulative count,cumulative percentage,percentage of total,validation,begindate,enddate,begin_days,end_days
"Grasland, blijvend",265,375658,375658,0.488515291,48.85152911,no,NA,NA,,
"Maïs, snij-",259,73443,449101,0.584022451,9.550715949,no,43941,43952,79,90
"Grasland, tijdelijk",266,73348,522449,0.67940607,9.538361906,no,NA,NA,,
"Grasland, natuurlijk. Hoofdfunctie landbouw.",331,38305,560754,0.729218873,4.981280373,no,NA,NA,,
"Tarwe, winter-",233,17847,578601,0.75242757,2.320869621,yes,NA,NA,,
"Aardappelen, consumptie",2014,16806,595407,0.774282523,2.185495313,no,43925,43938,63,76
"Bieten, suiker-",256,16074,611481,0.795185564,2.090304157,no,43905,43936,43,74
"Aardappelen, poot NAK",2015,8697,620178,0.806495366,1.13098017,no,43925,43938,63,76
"Gerst, zomer-",236,8087,628265,0.817011908,1.051654206,no,unknown,43951,,89
"Aardappelen, zetmeel ",2017,7785,636050,0.827135722,1.012381352,no,43925,43938,63,76
Natuurterreinen (incl. heide),335,5566,641616,0.834373891,0.723816905,yes,NA,NA,,
"Tarwe, zomer-",234,5355,646971,0.84133767,0.696377924,no,43905,43936,43,74
"Maïs, korrel-",316,5219,652190,0.848124591,0.678692136,no,43941,43983,79,90
"Grasland, natuurlijk. Hoofdfunctie natuur.",332,5139,657329,0.854807478,0.668288731,yes,NA,NA,,
Agrarisch natuurmengsel,1926,4976,662305,0.861278396,0.647091793,no,unknown,unknown,,
"Uien, zaai-",262,4936,667241,0.867697297,0.641890091,no,43918,43948,56,86
Peren. Aangeplant voorafgaande aan lopende seizoen.,1098,4642,671883,0.873733873,0.603657577,yes,NA,NA,,
"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras. (EA: onbeheerd)",3804,4427,676310,0.879490857,0.575698426,no,NA,NA,,
"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit tijdelijk gras",372,3918,680228,0.884585925,0.509506762,no,NA,NA,,
"Bos, blijvend, met herplantplicht",1936,3503,683731,0.889141316,0.455539098,yes,NA,NA,,
"Tulp, bloembollen en -knollen",1004,3234,686965,0.893346892,0.420557649,yes,,,-43862,-43862
Appelen. Aangeplant voorafgaande aan lopende seizoen.,1096,3014,689979,0.897266375,0.391948285,yes,NA,NA,,
"Gerst, winter-",235,2815,692794,0.900927073,0.366069815,yes,NA,NA,,
